,User Interface Personalization,,Solution,1,
,,Home Page User Interface,Project,0.5,FC
,,Customize Theme,Project,0.5,FC
,Customization,,Solution,30,
,,Job Ready for A/R & A/P Posting,Project,9,FC
,,Daily Task Report,Project,9,FC
,,Document Customization - HAWB based on POL,Project,2,FC
,,Report Customization - Shipment Profile Report in USD Currency,Project,10,FC
Freight Forwarding,,,Product,186,
,Implementation,,Solution,94,
,,Project Management,Project,8,PM
,,Analysis - Functional,Project,4,FC
,,Registry Setup,Project,0.5,FA
,,Document Review (9 Docs),Project,1,FC
,,Notifications,Project,0.5,FC
,,NVOCC Implementation & Training,Project,80,FC
,Testing,,Solution,2,
,,Functional Testing (1 Scenario),Project,1,FC
,,UAT (1 Scenario),Project,1,FC
,Process Training,,Solution,23,
,,Project Management,Project,2,
,,Ocean Imports,Project,3,FC
,,Ocean Exports,Project,3,FC
,,Air Exports,Project,3,FC
,,Air Imports,Project,3,FC
,,Global Sailing Schedule,Project,1,FC
,,Job Management,Project,1,FC
,,PO Management,Project,4,FC
,,Road Transport,Project,3,FC
,Automations,,Solution,67,
,,Project Management,Project,3,
,,Analysis - Requirements,Project,3,FC
,,Air Carrier Messaging (upto 5 connections),Project,1.5,FC
,,Ocean Carrier Messaging (upto 5 connections),Project,1.5,FC
,,Web Tracker Utilization,Project,3,FC
,,Port Messaging,Project,8,FC
,,"Detention , Demurrage and storage",Project,3,FC
,,Rail Container Tracing (USA),Project,1,FC
,,E2E,Project,3,FC
,,Analysis - Requirements,Project,14,BA
,,Review of System (TST+PRD) Company Branch and Department-US Only,Project,2,FC
,,Review of Printers and Email Setup (TST+PRD) Company Branch and Department-US Only,Project,2,FC
,,Configuration of E2E- Connectivity Between A-Link and Santova US,Project,12,FC
,,E2E - UAT with Client on Test Database - a to z,Project,4,FC
,,Configuration of E-Adaptor for Integration Between A Link and Santova US *Only if E2E Fails (Will update Estimated hours only after Discovery Call/Gap Analysis),Project,0,
,,"Review of Documents with LOGO ( like Invoice , Pre-Alert, BOL, HAWB, DO etc.)- System Define Only",Project,2,FC
,,"Review Of Santova Process Flow ( SEA, AIR, ROAD , RAIL- Export and Import ) - Will update Estimated hours only after Discovery Call/Gap Analysis",Project,0,
,,"Finalization of SFL Design Process Flow ( SEA, AIR, ROAD , RAIL- Export and Import )- Only if its Approved by Santova - [Will update Estimated hours only after Discovery Call/Gap Analysis]",Project,0,
,,Basic Workflow Setup (TST+PRD),Project,4,FA
Advance Workflows,,,Product,285.5,
,Purchase order Management,,Solution,7.5,
,,Analysis - Functional,Project,1,BA
,,Milestones,Project,1,FC
,,Update Master Data,Project,0.5,FC
,,Notifications Templates,Project,1,FC
,,Task Creation (10 Tasks),Project,3,FC
,,Triggers (Upto 5),Project,1,FC
,Road Freight Automation,,Solution,8.5,
,,Analysis-Functional,Project,2,FC
,,Milestones & Custom Fields,Project,1,FC
,,Web Tracker Visibility,Project,0.5,FC
,,Task Creation (10 Tasks),Project,3,FC
,,Notifications Templates (1),Project,1,FC
,,Triggers (Upto 5),Project,1,FC
,Ocean Export Automation,,Solution,34.5,
,,Project Management,Project,4,
,,Blue Print / Gap Analysis,Project,1,BA
,,Milestones & Custom Fields,Project,1,FC
,,Update Master Data,Project,0.5,FC
,,Notifications Templates,Project,1,FC
,,Web Tracker Visibility,Project,0.5,FC
,,Include Doc Pack,Project,0.5,FC
,,Task Creation (10 Tasks),Project,3,FC
,,Triggers (Upto 5),Project,1,FC
,,Client Specific Template (1 Customer),Project,1,FC
,,PAVE Board,Project,20,FC
,,HelpDesk Support (Valid for 15 Days),Project,1,FC
,Air Export Automation,,Solution,33.5,
,,Project Management,Project,3,
,,Analysis-Functional,Project,1,BA
,,Milestones & Custom Fields,Project,1,FC
,,Update Master Data,Project,0.5,FC
,,Notifications Templates (1),Project,1,FC
,,Include Doc Pack,Project,0.5,FC
,,Web Tracker Visibility,Project,0.5,FC
,,Task Creation (10 Tasks),Project,3,FC
,,Triggers (Upto 5),Project,1,FC
,,Client Specific Template (1 Customer),Project,1,FC
,,PAVE Board,Project,20,FC
,,HelpDesk Support (Valid for 15 Days),Project,1,FC
,Imports Automation,,Solution,82,
,,Project Management,Project,7,PM
,,Analysis -Functional,Project,1,BA
,,Milestones & Custom Fields,Project,1,FC
,,Exception Report,Project,0.5,FC
,,Notifications Templates (1),Project,1,FC
,,Task Creation (10 Tasks),Project,3,FC
,,Web Tracker Visibility,Project,0.5,FC
,,Triggers (Upto 5),Project,1,FC
,,Client Specific Template (1 Customer),Project,1,FC
,,PAVE Board,Project,20,FC
,,HelpDesk Support (Valid for 15 Days),Project,1,FC
,,Milestones Configuration with Triggers Setup - 15 Nos,Project,45,FA
,Customs Automations,,Solution,33,
,,Project Management,Project,3,PM
,,Analysis -Functional,Project,1,BA
,,Milestones & Custom Fields,Project,1,FC
,,Notifications Templates (1),Project,1,FC
,,Exception Report,Project,0.5,FC
,,Web Tracker Visibility,Project,0.5,FC
,,Task Creation (10 Tasks),Project,3,FC
,,Triggers (Upto 5),Project,1,FC
,,Client Specific Template (1 Customer),Project,1,FC
,,PAVE Board,Project,20,FC
,,HelpDesk Support (15 days),Project,1,FC
,Global Container Tracking (Accuracy on Ocean Tracking),,Solution,9,
,,Analysis -Functional (Identify key Carriers),Project,1,BA
,,Master Data Review LCL Carriers,Project,0.5,FC
,,Master Data Review FCL Carriers,Project,0.5,FC
,,Exceptions (Feeder Vessels / Non Supported Carriers),Project,0.5,FC
,,Milestones ( Container Specific),Project,0.5,FC
,,Notifications Templates (1),Project,1,FC
,,Tasks for Operators (Monitoring),Project,2,FC
,,Dashboards (Containers),Project,0.5,FC
,,Triggers (Upto 5),Project,0.5,FC
,,HelpDesk Support (Valid for 30 Days),Project,2,FC
,Air Way Bill Automations (Accuracy on Air Tracking),,Solution,7,
,,Analysis -Functional (Identify key Carriers),Project,1,BA
,,Master Data Review AirLines,Project,0.5,FC
,,Exceptions (AirLines),Project,0.5,FC
,,Milestones (Air Cargo Specific),Project,0.5,FC
,,Notifications Templates (1),Project,1,FC
,,Tasks for Operators (Monitoring),Project,1.5,FC
,,Dashboards (AirLines),Project,0.5,FC
,,Triggers (Upto 5),Project,0.5,FC
,,HelpDesk Support (Valid for 30 days),Project,1,FC
,Phases - Data Integrity,,Solution,4,
,,Analysis -Functional,Project,2,FC
,,Registry Setup Consol,Project,0,FA
,,Registry Setup Shipment,Project,0,FA
,,Staff Security (1 Branch),Project,1,FC
,,Application of Trigger,Project,0,FA
,,HelpDesk Support (15 days),Project,1,FC
,Finance Automations,,Solution,2.5,
,,Notifications Templates (1),Project,1,FC
,,Organization Setup,Project,0.5,FA
,,Account Receivables,Project,0.5,FC
,,Account Payables,Project,0.5,FC
,,HelpDesk Support (15 days),Project,0,FA
,Sales & Marketing Workflow,,Solution,9.5,
,,Setup Milestone,Project,2,FC
,,Setup Triggers (upto 5),Project,2,FA
,,Notifications Templates (1),Project,0.5,FC
,,Task Creation (upto 10),Project,3,FC
,,HelpDesk Support (Valid for 30 days),Project,2,FC
,Liner & Agency Automations,,Solution,8.5,
